City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,Ghat,24.9647,10.1728,91.76,10,0,9.35,LY,1687724596
304,Bhawānipatna,19.9,83.1667,75.38,94,100,5.35,IN,1687724597
305,Mirny,62.5353,113.9611,59.23,76,100,8.99,RU,1687724599
306,Choele Choel,-39.2667,-65.6833,58.33,55,100,19.48,AR,1687724600
307,Kurchum,48.5722,83.6542,48.96,81,1,8.75,KZ,1687724601
308,Kyela,-9.5833,33.85,69.03,78,76,1.63,TZ,1687724603
309,Saint-Leu,-21.15,55.2833,63.46,82,23,10.8,RE,1687724604
310,Leeton,-34.5667,146.4,41.9,83,0,10.94,AU,1687724605
311,Coquimbo,-29.9533,-71.3436,64.13,77,0,9.22,CL,1687724410
312,Luanda,-8.8368,13.2343,71.6,83,85,10.36,AO,1687724555
313,Mandera,3.9366,41.867,82.26,46,91,23.15,KE,1687724610
314,Ketchikan,55.3422,-131.6461,66.67,68,75,4.61,US,1687724613
315,Fedorovka,53.6314,62.7078,53.83,91,100,11.65,KZ,1687724614
316,Tambura,5.6,27.4667,68.47,96,73,3.24,SS,1687724615
317,Wynyard,-41.0,145.7167,47.17,93,87,6.15,AU,1687724616
318,Bamboo Flat,11.7,92.7167,82.27,82,100,11.12,IN,1687724618
319,Mwene-Ditu,-7.0,23.45,69.82,42,0,2.84,CD,1687724620
320,Melfi,40.9965,15.6514,66.76,84,0,3.6,IT,1687724622
321,Huarmey,-10.0681,-78.1522,75.13,69,4,9.78,PE,1687724624
322,Nantucket,41.2835,-70.0995,77.09,90,100,6.91,US,1687724447
323,Uturoa,-16.7333,-151.4333,81.21,71,55,17.54,PF,1687724626
324,Acapulco de Juárez,16.8634,-99.8901,85.82,74,75,8.05,MX,1687724627
325,Lae,-6.7221,146.9847,74.07,93,100,3.11,PG,1687724628
326,Chamdo,31.1667,97.2333,41.81,38,0,1.99,CN,1687724629
327,Aksu,41.1231,80.2644,75.15,34,100,18.34,CN,1687724631
328,Al Ḩāmūl,31.3115,31.1477,73.87,65,0,5.7,EG,1687724632
329,El Sauzal de Rodríguez,31.9,-116.6833,69.42,62,0,12.37,MX,1687724634
330,Port Lincoln,-34.7333,135.8667,52.29,72,4,9.51,AU,1687724635
331,Kourou,5.1552,-52.6478,82.45,73,27,6.11,GF,1687724636
332,Prince Rupert,54.3161,-130.3201,60.89,89,0,10.36,CA,1687724474
333,Fauske,67.2588,15.3918,58.95,78,34,1.86,NO,1687724638
334,Lagos,6.5833,3.75,75.15,83,99,5.28,NG,1687724604
335,Vilyuysk,63.7553,121.6247,65.68,57,100,5.08,RU,1687724641
336,Socorro,31.6546,-106.3033,103.86,8,0,4.61,US,1687724642
337,Ola,59.5833,151.2833,52.18,77,8,2.64,RU,1687724644
338,Hirara,24.8,125.2833,80.46,94,20,4.61,JP,1687724645
339,Inhambane,-23.865,35.3833,64.02,83,0,5.35,MZ,1687724646
340,Onega,63.9061,38.1404,57.4,57,59,6.29,RU,1687724647
341,Manismata,-2.4667,111.0333,72.23,99,54,1.59,ID,1687724648
342,Sandnessjøen,66.0217,12.6316,63.12,72,0,10.36,NO,1687724650
343,Manicoré,-5.8092,-61.3003,92.05,47,92,2.66,BR,1687724651
344,Puerto Aisén,-45.4,-72.7,39.88,100,100,2.26,CL,1687724652
345,Jishou,28.3167,109.7167,70.84,91,0,0.13,CN,1687724653
346,Aţ Ţaraf,25.3628,49.725,91.94,15,3,5.23,SA,1687724654
347,Nouadhibou,20.931,-17.0347,71.58,78,1,17.27,MR,1687724225
348,Kenai,60.5544,-151.2583,60.89,56,100,13.8,US,1687724658
349,Bayanhongor,46.7167,100.1167,44.78,60,5,2.89,MN,1687724659
350,Kununurra,-15.7667,128.7333,69.78,88,100,0.0,AU,1687724660
351,Puerto Baquerizo Moreno,-0.9,-89.6,76.77,80,98,12.15,EC,1687724661
352,Holualoa,19.6228,-155.9522,78.64,80,40,10.36,US,1687724662
353,Lázaro Cárdenas,17.9583,-102.2,87.93,61,80,11.43,MX,1687724663
